Year,Month_No,Month,Round,State,Station Code,Station Name,BOD
2025,5,May,2,Uttarakhand,1491,BAGIRATHI AT GANGOTRI,1.0
2025,5,May,1,Uttarakhand,5451,RIVER MANDAKINI AT KEDARNATH,1.0
2025,5,May,2,Uttarakhand,5452,RIVER ALAKNANDA AT BADRINATH,1.0
2025,1,January,1,Uttarakhand,1485,"MANDAKINI B/C ALAKNANDA, RUDRAPRAYAG",1.0
2025,4,April,1,Uttarakhand,1485,"MANDAKINI B/C ALAKNANDA, RUDRAPRAYAG",1.0
2025,7,July,1,Uttarakhand,1485,"MANDAKINI B/C ALAKNANDA, RUDRAPRAYAG",1.0
2025,10,October,1,Uttarakhand,1485,"MANDAKINI B/C ALAKNANDA, RUDRAPRAYAG",1.0
2025,1,January,1,Uttarakhand,1484,"ALAKNANDA B/C MANDAKINI, RUDRA PRAYAG",1.0
2025,4,April,1,Uttarakhand,1484,"ALAKNANDA B/C MANDAKINI, RUDRA PRAYAG",1.0
2025,7,July,1,Uttarakhand,1484,"ALAKNANDA B/C MANDAKINI, RUDRA PRAYAG",1.0
2025,10,October,1,Uttarakhand,1484,"ALAKNANDA B/C MANDAKINI, RUDRA PRAYAG",1.0
2025,1,January,1,Uttarakhand,1486,"ALKANANDA A/C MANDAKINI, RUDRAPRAYAG",1.0
2025,4,April,1,Uttarakhand,1486,"ALKANANDA A/C MANDAKINI, RUDRAPRAYAG",1.0
2025,7,July,1,Uttarakhand,1486,"ALKANANDA A/C MANDAKINI, RUDRAPRAYAG",1.0
2025,10,October,1,Uttarakhand,1486,"ALKANANDA A/C MANDAKINI, RUDRAPRAYAG",1.0
2025,1,January,1,Uttarakhand,1488,"BHAGIRATHI B/C ALAKNANDA, DEVPRAYAG",1.0
2025,4,April,1,Uttarakhand,1488,"BHAGIRATHI B/C ALAKNANDA, DEVPRAYAG",1.0
2025,7,July,1,Uttarakhand,1488,"BHAGIRATHI B/C ALAKNANDA, DEVPRAYAG",1.0
2025,10,October,1,Uttarakhand,1488,"BHAGIRATHI B/C ALAKNANDA, DEVPRAYAG",1.0
2025,1,January,1,Uttarakhand,1487,"ALAKNANDA B/C BHAGIRATHI, DEVPRAYAG",1.0
2025,4,April,1,Uttarakhand,1487,"ALAKNANDA B/C BHAGIRATHI, DEVPRAYAG",1.0
2025,7,July,1,Uttarakhand,1487,"ALAKNANDA B/C BHAGIRATHI, DEVPRAYAG",1.0
2025,10,October,1,Uttarakhand,1487,"ALAKNANDA B/C BHAGIRATHI, DEVPRAYAG",1.0
2025,1,January,1,Uttarakhand,1489,"ALAKNANDA A/C BHAGIRATHI, DEVPRAYAG",1.0
2025,4,April,1,Uttarakhand,1489,"ALAKNANDA A/C BHAGIRATHI, DEVPRAYAG",1.0
2025,7,July,1,Uttarakhand,1489,"ALAKNANDA A/C BHAGIRATHI, DEVPRAYAG",1.0
2025,10,October,1,Uttarakhand,1489,"ALAKNANDA A/C BHAGIRATHI, DEVPRAYAG",1.0
2025,1,January,1,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",1.0
2025,1,January,2,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",1.0
2025,2,February,1,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",1.0
2025,2,February,2,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",1.0
2025,3,March,1,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",1.0
2025,3,March,2,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",1.0
2025,4,April,1,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",1.0
2025,4,April,2,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",1.0
2025,5,May,1,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",1.0
2025,5,May,2,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",1.0
2025,6,June,1,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",1.0
2025,6,June,2,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",1.0
2025,7,July,1,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",1.0
2025,7,July,2,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",1.0
2025,8,August,1,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",1.0
2025,8,August,2,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",1.0
2025,9,September,1,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",1.0
2025,9,September,2,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",1.0
2025,10,October,1,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",1.0
2025,10,October,2,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",1.0
2025,11,November,1,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",1.0
2025,11,November,2,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",1.0
2025,12,December,1,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",1.0
2025,12,December,2,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",1.0
2025,1,January,1,Uttarakhand,1060,U/S RISHIKESH ,1.0
2025,1,January,2,Uttarakhand,1060,U/S RISHIKESH ,1.0
2025,2,February,1,Uttarakhand,1060,U/S RISHIKESH ,1.0
2025,2,February,2,Uttarakhand,1060,U/S RISHIKESH ,1.0
2025,3,March,1,Uttarakhand,1060,U/S RISHIKESH ,1.0
2025,3,March,2,Uttarakhand,1060,U/S RISHIKESH ,1.0
2025,4,April,1,Uttarakhand,1060,U/S RISHIKESH ,1.0
2025,4,April,2,Uttarakhand,1060,U/S RISHIKESH ,1.0
2025,5,May,1,Uttarakhand,1060,U/S RISHIKESH ,1.0
2025,5,May,2,Uttarakhand,1060,U/S RISHIKESH ,1.0
2025,6,June,1,Uttarakhand,1060,U/S RISHIKESH ,1.0
2025,6,June,2,Uttarakhand,1060,U/S RISHIKESH ,1.0
2025,7,July,1,Uttarakhand,1060,U/S RISHIKESH ,1.0
2025,7,July,2,Uttarakhand,1060,U/S RISHIKESH ,1.0
2025,8,August,1,Uttarakhand,1060,U/S RISHIKESH ,1.0
2025,8,August,2,Uttarakhand,1060,U/S RISHIKESH ,1.0
2025,9,September,1,Uttarakhand,1060,U/S RISHIKESH ,1.0
2025,9,September,2,Uttarakhand,1060,U/S RISHIKESH ,1.0
2025,10,October,1,Uttarakhand,1060,U/S RISHIKESH ,1.0
2025,10,October,2,Uttarakhand,1060,U/S RISHIKESH ,1.0
2025,11,November,1,Uttarakhand,1060,U/S RISHIKESH ,1.0
2025,11,November,2,Uttarakhand,1060,U/S RISHIKESH ,1.0
2025,12,December,1,Uttarakhand,1060,U/S RISHIKESH ,1.0
2025,12,December,2,Uttarakhand,1060,U/S RISHIKESH ,1.0
2025,1,January,1,Uttarakhand,5777,"VISTHAPHIT COLONY, RISHIKESH",1.0
2025,1,January,2,Uttarakhand,5777,"VISTHAPHIT COLONY, RISHIKESH",1.0
