Year,Month_No,Month,Round,State,Station Code,Station Name,DO,pH,BOD
2014,1,January,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",9.8,8.36,3.8
2014,2,February,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",9.6,8.05,2.6
2014,3,March,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",9.0,8.23,3.6
2014,4,April,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",8.4,8.36,3.5
2014,5,May,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",8.2,8.44,3.6
2014,6,June,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",8.1,8.26,3.5
2014,7,July,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",8.4,8.32,3.6
2014,8,August,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",8.8,8.38,4.0
2014,10,October,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",8.7,8.17,3.8
2014,11,November,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",8.5,8.34,3.6
2015,1,January,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",8.7,7.82,3.6
2015,2,February,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",8.8,8.27,3.3
2015,3,March,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",8.8,7.78,3.5
2015,4,April,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",8.9,8.29,3.6
2015,5,May,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",8.4,8.36,3.5
2015,6,June,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",7.3,7.49,3.7
2015,7,July,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",7.2,7.38,4.6
2015,8,August,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",7.8,7.48,4.2
2015,9,September,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",7.6,8.28,4.3
2016,1,January,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",8.1,8.14,4.0
2017,2,February,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",8.8,8.16,3.7
2017,3,March,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",8.7,8.2,3.9
2017,4,April,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",8.3,8.26,3.7
2017,5,May,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",8.4,8.18,3.6
2017,6,June,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",8.2,8.06,3.8
2017,7,July,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",7.8,7.96,5.6
2017,8,August,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",7.8,7.78,3.7
2017,9,September,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",7.9,7.67,5.5
2017,11,November,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",7.7,7.48,5.3
2018,1,January,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",9.9,8.25,4.8
2018,2,February,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",9.1,8.4,4.1
2018,3,March,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",9.0,8.49,4.0
2018,4,April,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",9.7,8.43,3.9
2018,5,May,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",9.4,8.29,4.0
2018,6,June,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",8.7,8.35,3.8
2018,7,July,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",8.8,8.22,3.7
2018,8,August,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",7.6,7.78,2.6
2018,9,September,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",7.4,7.9,2.8
2018,10,October,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",7.6,7.68,3.3
2018,11,November,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",7.4,7.71,3.5
2019,1,January,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",10.1,8.3,3.0
2019,2,February,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",10.8,8.4,3.1
2019,3,March,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",7.2,8.3,3.0
2019,4,April,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",7.3,8.2,2.8
2019,5,May,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",7.3,8.3,3.2
2019,6,June,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",7.6,7.6,2.9
2019,7,July,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",7.9,8.1,2.8
2019,8,August,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",8.1,7.6,2.5
2019,9,September,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",8.3,8.0,2.5
2020,1,January,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",11.7,8.4,2.5
2020,8,August,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",7.6,7.4,2.8
2020,9,September,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",7.9,7.3,2.2
2020,10,October,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",8.1,8.2,2.8
2020,11,November,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",8.2,8.2,3.2
2020,11,November,2,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",8.3,8.5,2.2
2020,12,December,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",8.8,8.1,2.3
2021,1,January,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",10.5,8.28,2.5
2021,1,January,2,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",9.9,8.22,2.4
2021,2,February,1,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",10.0,8.31,2.8
2021,2,February,2,Uttar Pradesh,1046,"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",9.3,7.82,2.8
