Forecast_Year,Forecast_Month_No,Forecast_Month,Forecast_Round,State,Station Code,Station Name,Pred_DO,Pred_pH,Pred_BOD
2026,1,January,1,Uttar Pradesh,1046,PRAYAGRAJ (RASOOLABAD),9.14,8.288,2.582
2026,1,January,2,Uttar Pradesh,1046,PRAYAGRAJ (RASOOLABAD),9.235,8.296,2.571
2026,2,February,1,Uttar Pradesh,1046,PRAYAGRAJ (RASOOLABAD),9.225,8.292,2.586
2026,2,February,2,Uttar Pradesh,1046,PRAYAGRAJ (RASOOLABAD),9.152,8.28,2.62
2026,3,March,1,Uttar Pradesh,1046,PRAYAGRAJ (RASOOLABAD),9.051,8.265,2.662
2026,3,March,2,Uttar Pradesh,1046,PRAYAGRAJ (RASOOLABAD),8.927,8.246,2.709
2026,4,April,1,Uttar Pradesh,1046,PRAYAGRAJ (RASOOLABAD),8.789,8.225,2.746
2026,4,April,2,Uttar Pradesh,1046,PRAYAGRAJ (RASOOLABAD),8.643,8.2,2.767
2026,5,May,1,Uttar Pradesh,1046,PRAYAGRAJ (RASOOLABAD),8.522,8.177,2.776
2026,5,May,2,Uttar Pradesh,1046,PRAYAGRAJ (RASOOLABAD),8.42,8.156,2.787
2026,6,June,1,Uttar Pradesh,1046,PRAYAGRAJ (RASOOLABAD),8.376,8.149,2.798
2026,6,June,2,Uttar Pradesh,1046,PRAYAGRAJ (RASOOLABAD),8.366,8.148,2.807
2026,7,July,1,Uttar Pradesh,1046,PRAYAGRAJ (RASOOLABAD),8.381,8.152,2.815
2026,7,July,2,Uttar Pradesh,1046,PRAYAGRAJ (RASOOLABAD),8.414,8.159,2.821
2026,8,August,1,Uttar Pradesh,1046,PRAYAGRAJ (RASOOLABAD),8.458,8.167,2.827
2026,8,August,2,Uttar Pradesh,1046,PRAYAGRAJ (RASOOLABAD),8.507,8.175,2.832
2026,9,September,1,Uttar Pradesh,1046,PRAYAGRAJ (RASOOLABAD),8.559,8.182,2.835
2026,9,September,2,Uttar Pradesh,1046,PRAYAGRAJ (RASOOLABAD),8.614,8.19,2.838
2026,10,October,1,Uttar Pradesh,1046,PRAYAGRAJ (RASOOLABAD),8.665,8.198,2.84
2026,10,October,2,Uttar Pradesh,1046,PRAYAGRAJ (RASOOLABAD),8.71,8.205,2.843
2026,11,November,1,Uttar Pradesh,1046,PRAYAGRAJ (RASOOLABAD),8.745,8.209,2.844
2026,11,November,2,Uttar Pradesh,1046,PRAYAGRAJ (RASOOLABAD),8.764,8.212,2.847
2026,12,December,1,Uttar Pradesh,1046,PRAYAGRAJ (RASOOLABAD),8.765,8.211,2.851
2026,12,December,2,Uttar Pradesh,1046,PRAYAGRAJ (RASOOLABAD),8.749,8.208,2.857
2026,1,January,1,Uttar Pradesh,1049,PRAYAGRAJ D/S (SANGAM),9.219,8.298,2.556
2026,1,January,2,Uttar Pradesh,1049,PRAYAGRAJ D/S (SANGAM),9.459,8.328,2.511
