Station Code,Station Name,State,Forecast_Year,Forecast_Month,Forecast_Round,Pred_DO,Pred_pH,Pred_BOD
1046,PRAYAGRAJ (RASOOLABAD),Uttar Pradesh,2026,1,1,9.14,8.288,2.582
1049,PRAYAGRAJ D/S (SANGAM),Uttar Pradesh,2026,1,1,9.219,8.298,2.556
1052,ULUBERIA,West Bengal,2026,1,1,7.195,7.676,2.407
1053,DAKSHINESHWAR,West Bengal,2026,1,1,7.648,7.472,2.143
1054,PALTA,West Bengal,2026,1,1,8.257,7.085,1.813
1059,RAJMAHAL,Jharkhand,2026,1,1,7.115,7.5,1.434
1060,U/S RISHIKESH ,Uttarakhand,2026,1,1,9.786,7.86,1.098
1061,HARIDWAR D/S,Uttarakhand,2026,1,1,9.01,8.107,2.385
1062,"BRIJGHAT D/S, GHARMUKTESHWAR ",Uttar Pradesh,2026,1,1,10.366,7.478,1.449
1063,U/S KANNAUJ (RAJGHAT),Uttar Pradesh,2026,1,1,9.822,8.354,3.031
1066,KANNAUJ D/S,Uttar Pradesh,2026,1,1,9.82,8.33,3.263
1067,U/S KANPUR  (RANIGHAT),Uttar Pradesh,2026,1,1,9.892,8.353,3.237
1068,KANPUR D/S (JAJMAU PUMPING STATION),Uttar Pradesh,2026,1,1,9.567,8.276,3.679
1070,U/S VARANASI  (VISHWA SUNDARI BRIDGE),Uttar Pradesh,2026,1,1,9.142,8.29,2.198
1071,VARANASI D/S (MALVIYA BRIDGE),Uttar Pradesh,2026,1,1,7.723,7.959,3.299
1073,TARIGHAT (GHAZIPUR),Uttar Pradesh,2026,1,1,7.439,7.938,3.512
1074,"BUXAR, CHAUSA KARMNASA ",Bihar,2026,1,1,7.909,7.837,1.497
1077,"KURJI AT DIGHA GHAT, U/S PATNA",Bihar,2026,1,1,7.419,7.556,1.612
1079,PATNA D/S (GANGA BRIDGE),Bihar,2026,1,1,7.485,7.604,1.824
1080,BEHARAMPORE,West Bengal,2026,1,1,8.29,7.337,1.491
1145,NARORA (BULANDSAHAR),Uttar Pradesh,2026,1,1,8.991,7.132,1.405
1146,BITHOOR (KANPUR),Uttar Pradesh,2026,1,1,9.775,8.348,3.293
1147,DALMAU (RAI BAREILLY),Uttar Pradesh,2026,1,1,9.061,8.07,2.242
1335,PATIKALI ,West Bengal,2026,1,1,7.537,8.092,1.883
1469,DIAMOND HARBOUR,West Bengal,2026,1,1,6.972,7.732,2.274
1470,GARDEN REACH,West Bengal,2026,1,1,7.22,7.694,2.415
1471,SHIVPUR (HOWRAH),West Bengal,2026,1,1,7.21,7.686,2.33
1472,SERAMPORE,West Bengal,2026,1,1,8.196,7.127,1.904
1815,MOKAMA D/S ,Bihar,2026,1,1,7.484,7.58,1.535
1816,KAHALGAON,Bihar,2026,1,1,8.328,7.59,1.582
1817,U/S MOKAMA,Bihar,2026,1,1,7.604,7.541,1.496
1818,MUNGER D/S,Bihar,2026,1,1,7.734,7.539,1.428
1819,BHAGALPUR,Bihar,2026,1,1,8.135,7.496,1.434
2485,"U/S, VINDHYACHAL (MIRZAPUR)",Uttar Pradesh,2026,1,1,9.023,8.274,2.424
2486,"D/S, MIRZAPUR",Uttar Pradesh,2026,1,1,7.862,8.006,3.581
2487,KADAGHAT (KAUSHAMBI),Uttar Pradesh,2026,1,1,9.187,8.3,2.511
2488,U/S ANOOPSHAHAR,Uttar Pradesh,2026,1,1,8.519,7.198,1.321
2489,ANOOPSHAHAR D/S,Uttar Pradesh,2026,1,1,8.783,7.161,1.369
2490,KACHHLA GHAT (ALIGARH),Uttar Pradesh,2026,1,1,9.849,7.739,1.126
2498,KALA KANKAR (PRATAPGARH),Uttar Pradesh,2026,1,1,9.153,8.133,2.231
2506,"TRIBENI, NEAR BURNING GHAT",West Bengal,2026,1,1,7.929,7.213,1.647
2511,"NABADIP,GHOSHPARA NEAR MONIPURGHAT",West Bengal,2026,1,1,8.523,7.093,1.85
2551,"BUXAR, RAMREKHAGHAT",Bihar,2026,1,1,7.765,7.745,1.529
