Station Code,Station Name,State,Forecast_Months,Mean_WQI,Min_WQI,Mean_DO,Min_DO,Mean_pH,Min_pH,Max_pH,Mean_BOD,Max_BOD,BOD_Exceed_Months,DO_Violation_Months,pH_Violation_Months,Any_CPCB_Violation_Months,BOD_Exceed_Percent,DO_Violation_Percent,pH_Violation_Percent,CPCB_Violation_Percent,Hotspot_Level
1071,VARANASI D/S (MALVIYA BRIDGE),Uttar Pradesh,24,80.0,80.0,7.03,6.56,7.91,7.85,8.04,3.46,3.6,24,0,0,24,100.0,0.0,0.0,100.0,High Hotspot
1073,TARIGHAT (GHAZIPUR),Uttar Pradesh,24,80.0,80.0,7.01,6.57,7.92,7.86,8.0,3.5,3.61,24,0,0,24,100.0,0.0,0.0,100.0,High Hotspot
2486,"D/S, MIRZAPUR",Uttar Pradesh,24,80.0,80.0,7.02,6.56,7.9,7.83,8.01,3.54,3.69,24,0,0,24,100.0,0.0,0.0,100.0,High Hotspot
1068,KANPUR D/S (JAJMAU PUMPING STATION),Uttar Pradesh,24,81.33,80.0,7.4,6.6,7.92,7.79,8.28,3.96,4.31,24,0,0,24,100.0,0.0,0.0,100.0,High Hotspot
5710," PURANA RAJAPUR,
KANPUR",Uttar Pradesh,24,81.33,80.0,7.38,6.6,7.94,7.8,8.27,3.88,4.15,24,0,0,24,100.0,0.0,0.0,100.0,High Hotspot
10157,BATHING GHAT (JAJMAU BRIDGE),Uttar Pradesh,24,81.33,80.0,7.43,6.59,7.94,7.8,8.3,3.92,4.22,24,0,0,24,100.0,0.0,0.0,100.0,High Hotspot
1066,KANNAUJ D/S,Uttar Pradesh,24,81.67,80.0,7.68,6.55,7.97,7.8,8.33,3.78,3.98,24,0,0,24,100.0,0.0,0.0,100.0,High Hotspot
1067,U/S KANPUR  (RANIGHAT),Uttar Pradesh,24,81.67,80.0,7.62,6.55,7.97,7.79,8.35,3.82,4.01,24,0,0,24,100.0,0.0,0.0,100.0,High Hotspot
1146,BITHOOR (KANPUR),Uttar Pradesh,24,81.67,80.0,7.6,6.54,7.97,7.8,8.35,3.81,4.0,24,0,0,24,100.0,0.0,0.0,100.0,High Hotspot
5709,"NANAMAU GANGA BRIDGE,KANPUR",Uttar Pradesh,24,81.67,80.0,7.66,6.54,7.98,7.8,8.36,3.8,4.01,24,0,0,24,100.0,0.0,0.0,100.0,High Hotspot
10154,U/s SHUKLAGANJ ,Uttar Pradesh,24,81.67,80.0,7.49,6.57,7.96,7.8,8.33,3.89,4.13,24,0,0,24,100.0,0.0,0.0,100.0,High Hotspot
10155,SHUKLAGANJ D/S,Uttar Pradesh,24,81.67,80.0,7.55,6.56,7.96,7.79,8.34,3.87,4.09,24,0,0,24,100.0,0.0,0.0,100.0,High Hotspot
10156,BATHING GHAT (GOLA GHAT),Uttar Pradesh,24,81.67,80.0,7.51,6.57,7.95,7.79,8.32,3.89,4.14,24,0,0,24,100.0,0.0,0.0,100.0,High Hotspot
10153,CHUNAR,Uttar Pradesh,24,83.67,80.0,7.82,6.64,7.97,7.8,8.11,3.61,3.83,24,0,0,24,100.0,0.0,0.0,100.0,High Hotspot
