Year,Month_No,Month,Round,State,Station Code,Station Name,BOD
2024,1,January,1,Bihar,1074.0,"BUXAR, CHAUSA KARMNASA ",1.0
2024,1,January,2,Bihar,1074.0,"BUXAR, CHAUSA KARMNASA ",1.0
2024,2,February,1,Bihar,1074.0,"BUXAR, CHAUSA KARMNASA ",1.0
2024,2,February,2,Bihar,1074.0,"BUXAR, CHAUSA KARMNASA ",1.0
2024,3,March,1,Bihar,1074.0,"BUXAR, CHAUSA KARMNASA ",1.1
2024,3,March,2,Bihar,1074.0,"BUXAR, CHAUSA KARMNASA ",1.0
2024,4,April,1,Bihar,1074.0,"BUXAR, CHAUSA KARMNASA ",2.4
2024,4,April,2,Bihar,1074.0,"BUXAR, CHAUSA KARMNASA ",1 (BDL)
2024,5,May,1,Bihar,1074.0,"BUXAR, CHAUSA KARMNASA ",1.3
2024,5,May,2,Bihar,1074.0,"BUXAR, CHAUSA KARMNASA ",1.3
2024,6,June,1,Bihar,1074.0,"BUXAR, CHAUSA KARMNASA ",1.5
2024,6,June,2,Bihar,1074.0,"BUXAR, CHAUSA KARMNASA ",1.1
2024,7,July,1,Bihar,1074.0,"BUXAR, CHAUSA KARMNASA ",1.3
2024,7,July,2,Bihar,1074.0,"BUXAR, CHAUSA KARMNASA ",1.2
2024,8,August,1,Bihar,1074.0,"BUXAR, CHAUSA KARMNASA ",2.3
2024,8,August,2,Bihar,1074.0,"BUXAR, CHAUSA KARMNASA ",1.2
2024,9,September,1,Bihar,1074.0,"BUXAR, CHAUSA KARMNASA ",2.2
2024,9,September,2,Bihar,1074.0,"BUXAR, CHAUSA KARMNASA ",1.3
2024,10,October,1,Bihar,1074.0,"BUXAR, CHAUSA KARMNASA ",1.5
2024,10,October,2,Bihar,1074.0,"BUXAR, CHAUSA KARMNASA ",2.4
2024,11,November,1,Bihar,1074.0,"BUXAR, CHAUSA KARMNASA ",1.9
2024,11,November,2,Bihar,1074.0,"BUXAR, CHAUSA KARMNASA ",1.5
2024,12,December,1,Bihar,1074.0,"BUXAR, CHAUSA KARMNASA ",1.8
2024,12,December,2,Bihar,1074.0,"BUXAR, CHAUSA KARMNASA ",1.2
2024,1,January,1,Bihar,10113.0,"U/S JAIL GHAT, BUXAR ",1.0
2024,1,January,2,Bihar,10113.0,"U/S JAIL GHAT, BUXAR ",1.0
2024,2,February,1,Bihar,10113.0,"U/S JAIL GHAT, BUXAR ",1.0
2024,2,February,2,Bihar,10113.0,"U/S JAIL GHAT, BUXAR ",1.3
2024,3,March,1,Bihar,10113.0,"U/S JAIL GHAT, BUXAR ",1.3
2024,3,March,2,Bihar,10113.0,"U/S JAIL GHAT, BUXAR ",1.0
2024,4,April,1,Bihar,10113.0,"U/S JAIL GHAT, BUXAR ",2.3
2024,4,April,2,Bihar,10113.0,"U/S JAIL GHAT, BUXAR ",1.5
2024,5,May,1,Bihar,10113.0,"U/S JAIL GHAT, BUXAR ",1.7
2024,5,May,2,Bihar,10113.0,"U/S JAIL GHAT, BUXAR ",1.7
2024,6,June,1,Bihar,10113.0,"U/S JAIL GHAT, BUXAR ",1.7
2024,6,June,2,Bihar,10113.0,"U/S JAIL GHAT, BUXAR ",1.0
2024,7,July,1,Bihar,10113.0,"U/S JAIL GHAT, BUXAR ",1 (BDL)
2024,7,July,2,Bihar,10113.0,"U/S JAIL GHAT, BUXAR ",1.6
2024,8,August,1,Bihar,10113.0,"U/S JAIL GHAT, BUXAR ",1.9
2024,8,August,2,Bihar,10113.0,"U/S JAIL GHAT, BUXAR ",1.5
2024,9,September,1,Bihar,10113.0,"U/S JAIL GHAT, BUXAR ",1.9
2024,9,September,2,Bihar,10113.0,"U/S JAIL GHAT, BUXAR ",1.3
2024,10,October,1,Bihar,10113.0,"U/S JAIL GHAT, BUXAR ",1.0
2024,10,October,2,Bihar,10113.0,"U/S JAIL GHAT, BUXAR ",1.8
2024,11,November,1,Bihar,10113.0,"U/S JAIL GHAT, BUXAR ",1.4
2024,11,November,2,Bihar,10113.0,"U/S JAIL GHAT, BUXAR ",1.2
2024,12,December,1,Bihar,10113.0,"U/S JAIL GHAT, BUXAR ",1.6
2024,12,December,2,Bihar,10113.0,"U/S JAIL GHAT, BUXAR ",2.1
2024,1,January,1,Bihar,2551.0,"BUXAR, RAMREKHAGHAT",1.0
2024,1,January,2,Bihar,2551.0,"BUXAR, RAMREKHAGHAT",1.2
2024,2,February,1,Bihar,2551.0,"BUXAR, RAMREKHAGHAT",1.2
2024,2,February,2,Bihar,2551.0,"BUXAR, RAMREKHAGHAT",1.1
2024,3,March,1,Bihar,2551.0,"BUXAR, RAMREKHAGHAT",1.4
2024,3,March,2,Bihar,2551.0,"BUXAR, RAMREKHAGHAT",1.3
2024,4,April,1,Bihar,2551.0,"BUXAR, RAMREKHAGHAT",2.5
2024,4,April,2,Bihar,2551.0,"BUXAR, RAMREKHAGHAT",1.4
2024,5,May,1,Bihar,2551.0,"BUXAR, RAMREKHAGHAT",1.6
2024,5,May,2,Bihar,2551.0,"BUXAR, RAMREKHAGHAT",1.6
2024,6,June,1,Bihar,2551.0,"BUXAR, RAMREKHAGHAT",1.6
2024,6,June,2,Bihar,2551.0,"BUXAR, RAMREKHAGHAT",1.4
2024,7,July,1,Bihar,2551.0,"BUXAR, RAMREKHAGHAT",1.4
2024,7,July,2,Bihar,2551.0,"BUXAR, RAMREKHAGHAT",2.1
2024,8,August,1,Bihar,2551.0,"BUXAR, RAMREKHAGHAT",1.7
2024,8,August,2,Bihar,2551.0,"BUXAR, RAMREKHAGHAT",1.9
2024,9,September,1,Bihar,2551.0,"BUXAR, RAMREKHAGHAT",2.0
2024,9,September,2,Bihar,2551.0,"BUXAR, RAMREKHAGHAT",1.6
