Year,Month_No,Month,Round,State,Station Code,Station Name,pH
2024.0,1,January,1,Bihar,1074,"BUXAR, CHAUSA KARMNASA ",7.9
2024.0,1,January,2,Bihar,1074,"BUXAR, CHAUSA KARMNASA ",7.66
2024.0,2,February,1,Bihar,1074,"BUXAR, CHAUSA KARMNASA ",7.86
2024.0,2,February,2,Bihar,1074,"BUXAR, CHAUSA KARMNASA ",7.86
2024.0,3,March,1,Bihar,1074,"BUXAR, CHAUSA KARMNASA ",7.65
2024.0,3,March,2,Bihar,1074,"BUXAR, CHAUSA KARMNASA ",7.66
2024.0,4,April,1,Bihar,1074,"BUXAR, CHAUSA KARMNASA ",7.99
2024.0,4,April,2,Bihar,1074,"BUXAR, CHAUSA KARMNASA ",7.35
2024.0,5,May,1,Bihar,1074,"BUXAR, CHAUSA KARMNASA ",7.39
2024.0,5,May,2,Bihar,1074,"BUXAR, CHAUSA KARMNASA ",8.24
2024.0,6,June,1,Bihar,1074,"BUXAR, CHAUSA KARMNASA ",7.8
2024.0,6,June,2,Bihar,1074,"BUXAR, CHAUSA KARMNASA ",7.94
2024.0,7,July,1,Bihar,1074,"BUXAR, CHAUSA KARMNASA ",7.82
2024.0,7,July,2,Bihar,1074,"BUXAR, CHAUSA KARMNASA ",7.25
2024.0,8,August,1,Bihar,1074,"BUXAR, CHAUSA KARMNASA ",7.63
2024.0,8,August,2,Bihar,1074,"BUXAR, CHAUSA KARMNASA ",7.7
2024.0,9,September,1,Bihar,1074,"BUXAR, CHAUSA KARMNASA ",7.47
2024.0,9,September,2,Bihar,1074,"BUXAR, CHAUSA KARMNASA ",7.79
2024.0,10,October,1,Bihar,1074,"BUXAR, CHAUSA KARMNASA ",7.54
2024.0,10,October,2,Bihar,1074,"BUXAR, CHAUSA KARMNASA ",7.82
2024.0,11,November,1,Bihar,1074,"BUXAR, CHAUSA KARMNASA ",7.79
2024.0,11,November,2,Bihar,1074,"BUXAR, CHAUSA KARMNASA ",7.41
2024.0,12,December,1,Bihar,1074,"BUXAR, CHAUSA KARMNASA ",7.4
2024.0,12,December,2,Bihar,1074,"BUXAR, CHAUSA KARMNASA ",7.41
2024.0,1,January,1,Bihar,10113,"U/S JAIL GHAT, BUXAR ",7.72
2024.0,1,January,2,Bihar,10113,"U/S JAIL GHAT, BUXAR ",7.78
2024.0,2,February,1,Bihar,10113,"U/S JAIL GHAT, BUXAR ",7.66
2024.0,2,February,2,Bihar,10113,"U/S JAIL GHAT, BUXAR ",7.36
2024.0,3,March,1,Bihar,10113,"U/S JAIL GHAT, BUXAR ",7.48
2024.0,3,March,2,Bihar,10113,"U/S JAIL GHAT, BUXAR ",7.8
2024.0,4,April,1,Bihar,10113,"U/S JAIL GHAT, BUXAR ",7.91
2024.0,4,April,2,Bihar,10113,"U/S JAIL GHAT, BUXAR ",7.39
2024.0,5,May,1,Bihar,10113,"U/S JAIL GHAT, BUXAR ",7.41
2024.0,5,May,2,Bihar,10113,"U/S JAIL GHAT, BUXAR ",8.22
2024.0,6,June,1,Bihar,10113,"U/S JAIL GHAT, BUXAR ",7.72
2024.0,6,June,2,Bihar,10113,"U/S JAIL GHAT, BUXAR ",7.81
2024.0,7,July,1,Bihar,10113,"U/S JAIL GHAT, BUXAR ",7.65
2024.0,7,July,2,Bihar,10113,"U/S JAIL GHAT, BUXAR ",7.61
2024.0,8,August,1,Bihar,10113,"U/S JAIL GHAT, BUXAR ",7.63
2024.0,8,August,2,Bihar,10113,"U/S JAIL GHAT, BUXAR ",7.65
2024.0,9,September,1,Bihar,10113,"U/S JAIL GHAT, BUXAR ",7.54
2024.0,9,September,2,Bihar,10113,"U/S JAIL GHAT, BUXAR ",7.65
2024.0,10,October,1,Bihar,10113,"U/S JAIL GHAT, BUXAR ",7.33
2024.0,10,October,2,Bihar,10113,"U/S JAIL GHAT, BUXAR ",7.97
