State,Location,Year,Season,Saprobic_Score
BIHAR,Buxer D/S,2022-23,Post,5.1
BIHAR,Buxer D/S,2023-24,Post,4.4
BIHAR,Buxer D/S,2023-24,Pre,4.8
BIHAR,Buxer D/S,2024-25,Post,4.8
BIHAR,Buxer D/S,2024-25,Pre,5.3
BIHAR,Buxer U/S,2022-23,Post,4.8
BIHAR,Buxer U/S,2023-24,Post,4.7
BIHAR,Buxer U/S,2023-24,Pre,4.9
BIHAR,Buxer U/S,2024-25,Post,4.9
BIHAR,Buxer U/S,2024-25,Pre,5.1
BIHAR,"Digha Ghat, Patna",2017-18,Post,5.3
BIHAR,"Digha Ghat, Patna",2017-18,Pre,4.9
BIHAR,"Digha Ghat, Patna",2018-19,Post,5.7
BIHAR,"Digha Ghat, Patna",2018-19,Pre,5.6
BIHAR,"Digha Ghat, Patna",2019-20,Post,5.9
BIHAR,"Digha Ghat, Patna",2019-20,Pre,5.6
BIHAR,"Digha Ghat, Patna",2020-21,Post,4.8
BIHAR,"Digha Ghat, Patna",2021-22,Post,5.3
BIHAR,"Digha Ghat, Patna",2022-23,Post,5.2
BIHAR,"Digha Ghat, Patna",2022-23,Pre,5.5
BIHAR,"Digha Ghat, Patna",2023-24,Post,5.0
BIHAR,"Digha Ghat, Patna",2023-24,Pre,4.4
BIHAR,"Digha Ghat, Patna",2024-25,Post,4.9
BIHAR,"Digha Ghat, Patna",2024-25,Pre,5.4
BIHAR,Gandhi Ghat,2017-18,Post,5.2
BIHAR,Gandhi Ghat,2017-18,Pre,5.1
BIHAR,Gandhi Ghat,2018-19,Post,4.9
BIHAR,Gandhi Ghat,2018-19,Pre,5.3
BIHAR,Gandhi Ghat,2019-20,Post,4.9
BIHAR,Gandhi Ghat,2019-20,Pre,5.2
BIHAR,Gandhi Ghat,2020-21,Post,4.6
BIHAR,Gandhi Ghat,2021-22,Post,4.7
BIHAR,Gandhi Ghat,2022-23,Post,5.3
BIHAR,Gandhi Ghat,2022-23,Pre,5.5
BIHAR,Gandhi Ghat,2023-24,Post,4.8
BIHAR,Gandhi Ghat,2023-24,Pre,5.1
BIHAR,Gandhi Ghat,2024-25,Post,5.0
BIHAR,Gandhi Ghat,2024-25,Pre,5.0
BIHAR,Kangan Ghat Malsalami,2017-18,Post,4.8
BIHAR,Kangan Ghat Malsalami,2017-18,Pre,4.5
BIHAR,Kangan Ghat Malsalami,2018-19,Post,6.0
BIHAR,Kangan Ghat Malsalami,2018-19,Pre,5.0
BIHAR,Kangan Ghat Malsalami,2019-20,Pre,4.9
BIHAR,Kangan Ghat Malsalami,2020-21,Post,4.8
BIHAR,Kangan Ghat Malsalami,2021-22,Post,5.1
BIHAR,Kangan Ghat Malsalami,2022-23,Post,5.1
BIHAR,Kangan Ghat Malsalami,2022-23,Pre,5.6
BIHAR,Kangan Ghat Malsalami,2023-24,Post,5.3
BIHAR,Kangan Ghat Malsalami,2023-24,Pre,4.9
BIHAR,Kangan Ghat Malsalami,2024-25,Post,4.8
BIHAR,Kangan Ghat Malsalami,2024-25,Pre,5.6
BIHAR,Kewala Ghat Fatuha,2017-18,Post,4.6
BIHAR,Kewala Ghat Fatuha,2017-18,Pre,5.2
BIHAR,Kewala Ghat Fatuha,2018-19,Post,5.1
BIHAR,Kewala Ghat Fatuha,2018-19,Pre,5.4
BIHAR,Kewala Ghat Fatuha,2019-20,Post,5.1
BIHAR,Kewala Ghat Fatuha,2019-20,Pre,5.2
BIHAR,Kewala Ghat Fatuha,2020-21,Post,4.8
BIHAR,Kewala Ghat Fatuha,2021-22,Post,5.3
BIHAR,Kewala Ghat Fatuha,2022-23,Post,5.1
BIHAR,Kewala Ghat Fatuha,2022-23,Pre,5.3
BIHAR,Kewala Ghat Fatuha,2023-24,Post,4.6
BIHAR,Kewala Ghat Fatuha,2023-24,Pre,4.5
BIHAR,Kewala Ghat Fatuha,2024-25,Post,4.8
BIHAR,Kewala Ghat Fatuha,2024-25,Pre,4.8
JHARKHAND,Rajmahal,2023-24,Post,5.1
JHARKHAND,Rajmahal,2023-24,Pre,5.0
JHARKHAND,Rajmahal,2024-25,Post,4.8
JHARKHAND,Rajmahal,2024-25,Pre,5.2
JHARKHAND,Sahibganj,2023-24,Post,4.8
JHARKHAND,Sahibganj,2023-24,Pre,4.9
JHARKHAND,Sahibganj,2024-25,Post,4.4
JHARKHAND,Sahibganj,2024-25,Pre,5.1
UTTAR PRADESH,Anupsahar,2017-18,Post,5.3
UTTAR PRADESH,Anupsahar,2017-18,Pre,5.0
UTTAR PRADESH,Anupsahar,2018-19,Post,5.2
UTTAR PRADESH,Anupsahar,2018-19,Pre,5.0
UTTAR PRADESH,Anupsahar,2019-20,Post,0.0
UTTAR PRADESH,Anupsahar,2019-20,Pre,4.8
UTTAR PRADESH,Anupsahar,2020-21,Post,5.3
UTTAR PRADESH,Anupsahar,2021-22,Post,4.8
UTTAR PRADESH,Anupsahar,2022-23,Pre,4.9
UTTAR PRADESH,Anupsahar,2023-24,Post,4.8
UTTAR PRADESH,Anupsahar,2023-24,Pre,5.1
UTTAR PRADESH,Anupsahar,2024-25,Post,5.2
UTTAR PRADESH,Anupsahar,2024-25,Pre,4.9
UTTAR PRADESH,"Asni Village, Fatehpur",2017-18,Post,4.4
UTTAR PRADESH,"Asni Village, Fatehpur",2017-18,Pre,5.0
UTTAR PRADESH,"Asni Village, Fatehpur",2018-19,Post,5.5
UTTAR PRADESH,"Asni Village, Fatehpur",2018-19,Pre,5.5
UTTAR PRADESH,"Asni Village, Fatehpur",2019-20,Post,5.5
UTTAR PRADESH,"Asni Village, Fatehpur",2019-20,Pre,4.7
UTTAR PRADESH,"Asni Village, Fatehpur",2020-21,Post,4.9
UTTAR PRADESH,"Asni Village, Fatehpur",2021-22,Post,4.3
UTTAR PRADESH,"Asni Village, Fatehpur",2022-23,Post,4.8
UTTAR PRADESH,"Asni Village, Fatehpur",2022-23,Pre,5.0
UTTAR PRADESH,"Asni Village, Fatehpur",2023-24,Post,5.1
UTTAR PRADESH,"Asni Village, Fatehpur",2023-24,Pre,5.0
UTTAR PRADESH,"Asni Village, Fatehpur",2024-25,Post,5.2
UTTAR PRADESH,"Asni Village, Fatehpur",2024-25,Pre,5.3
UTTAR PRADESH,Bithoor,2017-18,Post,5.4
UTTAR PRADESH,Bithoor,2017-18,Pre,5.5
UTTAR PRADESH,Bithoor,2018-19,Post,4.7
UTTAR PRADESH,Bithoor,2018-19,Pre,4.9
