State,Location,Year,Season,Saprobic_Score,Biological_Quality
BIHAR,Buxer D/S,2022-23,Post,5.1,Good
BIHAR,Buxer D/S,2023-24,Post,4.4,Moderate
BIHAR,Buxer D/S,2023-24,Pre,4.8,Moderate
BIHAR,Buxer D/S,2024-25,Post,4.8,Moderate
BIHAR,Buxer D/S,2024-25,Pre,5.3,Good
BIHAR,Buxer U/S,2022-23,Post,4.8,Moderate
BIHAR,Buxer U/S,2023-24,Post,4.7,Moderate
BIHAR,Buxer U/S,2023-24,Pre,4.9,Moderate
BIHAR,Buxer U/S,2024-25,Post,4.9,Moderate
BIHAR,Buxer U/S,2024-25,Pre,5.1,Good
BIHAR,"Digha Ghat, Patna",2017-18,Post,5.3,Good
BIHAR,"Digha Ghat, Patna",2017-18,Pre,4.9,Moderate
BIHAR,"Digha Ghat, Patna",2018-19,Post,5.7,Good
BIHAR,"Digha Ghat, Patna",2018-19,Pre,5.6,Good
BIHAR,"Digha Ghat, Patna",2019-20,Post,5.9,Good
BIHAR,"Digha Ghat, Patna",2019-20,Pre,5.6,Good
BIHAR,"Digha Ghat, Patna",2020-21,Post,4.8,Moderate
BIHAR,"Digha Ghat, Patna",2021-22,Post,5.3,Good
BIHAR,"Digha Ghat, Patna",2022-23,Post,5.2,Good
BIHAR,"Digha Ghat, Patna",2022-23,Pre,5.5,Good
BIHAR,"Digha Ghat, Patna",2023-24,Post,5.0,Good
BIHAR,"Digha Ghat, Patna",2023-24,Pre,4.4,Moderate
BIHAR,"Digha Ghat, Patna",2024-25,Post,4.9,Moderate
BIHAR,"Digha Ghat, Patna",2024-25,Pre,5.4,Good
BIHAR,Gandhi Ghat,2017-18,Post,5.2,Good
BIHAR,Gandhi Ghat,2017-18,Pre,5.1,Good
BIHAR,Gandhi Ghat,2018-19,Post,4.9,Moderate
BIHAR,Gandhi Ghat,2018-19,Pre,5.3,Good
BIHAR,Gandhi Ghat,2019-20,Post,4.9,Moderate
BIHAR,Gandhi Ghat,2019-20,Pre,5.2,Good
BIHAR,Gandhi Ghat,2020-21,Post,4.6,Moderate
BIHAR,Gandhi Ghat,2021-22,Post,4.7,Moderate
BIHAR,Gandhi Ghat,2022-23,Post,5.3,Good
BIHAR,Gandhi Ghat,2022-23,Pre,5.5,Good
BIHAR,Gandhi Ghat,2023-24,Post,4.8,Moderate
BIHAR,Gandhi Ghat,2023-24,Pre,5.1,Good
BIHAR,Gandhi Ghat,2024-25,Post,5.0,Good
BIHAR,Gandhi Ghat,2024-25,Pre,5.0,Good
BIHAR,Kangan Ghat Malsalami,2017-18,Post,4.8,Moderate
BIHAR,Kangan Ghat Malsalami,2017-18,Pre,4.5,Moderate
BIHAR,Kangan Ghat Malsalami,2018-19,Post,6.0,Good
BIHAR,Kangan Ghat Malsalami,2018-19,Pre,5.0,Good
BIHAR,Kangan Ghat Malsalami,2019-20,Pre,4.9,Moderate
BIHAR,Kangan Ghat Malsalami,2020-21,Post,4.8,Moderate
