Actual_DO,Actual_pH,Actual_BOD,Pred_DO,Pred_pH,Pred_BOD,Actual_WQI,Predicted_WQI,Actual_Class,Predicted_Class
8.5,8.2,1.2,8.142873,8.195177,1.6987394,100.0,100.0,Excellent,Excellent
11.1,8.01,1.0,8.409036,8.136805,1.5353503,100.0,100.0,Excellent,Excellent
8.3,8.03,1.8,8.822648,8.000862,1.4704378,100.0,100.0,Excellent,Excellent
8.9,7.82,1.6,8.182224,8.065761,1.7129185,100.0,100.0,Excellent,Excellent
8.2,7.87,1.0,8.406114,7.910425,1.524508,100.0,100.0,Excellent,Excellent
8.5,7.75,1.5,8.32906,7.953126,1.3438854,100.0,100.0,Excellent,Excellent
8.1,7.51,2.1,8.480443,7.959817,1.5032616,94.0,100.0,Excellent,Excellent
9.5,8.06,1.7,7.7742076,7.801816,1.9214338,100.0,92.0,Excellent,Excellent
8.0,7.65,1.8,8.3284445,7.8940024,1.6026933,100.0,100.0,Excellent,Excellent
6.4,8.01,2.7,7.8011694,7.731646,1.8516471,86.0,92.0,Good,Excellent
5.9,7.89,2.7,6.9655905,7.6644545,2.0365267,78.0,86.0,Good,Good
7.8,7.44,1.9,6.7288055,7.689762,2.1165266,92.0,86.0,Excellent,Good
5.6,7.96,2.8,8.226721,7.961002,1.7421846,78.0,100.0,Good,Excellent
5.2,7.29,3.2,6.6781363,7.705844,2.143355,72.0,86.0,Good,Good
6.6,7.47,2.1,6.27586,7.5555224,2.5098257,86.0,86.0,Good,Good
5.6,7.2,2.7,6.693931,7.559041,2.1917,78.0,86.0,Good,Good
5.8,7.32,2.9,6.272996,7.50184,2.4456942,78.0,86.0,Good,Good
5.6,7.52,2.8,6.330239,7.5200458,2.5912018,78.0,86.0,Good,Good
5.4,7.42,1.5,6.3404913,7.5960374,2.5533373,84.0,86.0,Good,Good
7.0,7.38,2.3,6.336256,7.636947,2.1784298,86.0,86.0,Good,Good
8.6,7.4,1.6,7.220726,7.709828,2.1385207,100.0,86.0,Excellent,Good
9.0,7.42,1.0,7.865452,7.641485,1.4965806,100.0,92.0,Excellent,Excellent
8.5,8.27,1.0,7.916132,7.614777,1.376317,100.0,92.0,Excellent,Excellent
9.1,8.16,1.6,8.28285,7.9239726,1.4846163,100.0,100.0,Excellent,Excellent
8.1,7.9,2.1,8.202097,7.8306804,1.5313632,94.0,100.0,Excellent,Excellent
8.6,7.96,1.7,7.6012836,7.6992435,1.7219479,100.0,92.0,Excellent,Excellent
8.1,7.74,1.3,7.9182887,7.74658,1.5870345,100.0,92.0,Excellent,Excellent
7.5,7.77,2.1,7.8022847,7.715598,1.5817065,86.0,92.0,Good,Excellent
