Actual_DO,Actual_pH,Actual_BOD,Predicted_DO,Predicted_pH,Predicted_BOD,Actual_WQI,Predicted_WQI,Actual_Category,Predicted_Category
7.6,8.04,2.6,7.7281685,7.9916754,3.048346,77.94285714285715,76.10073,Good,Good
7.6,7.9,2.6,7.9765587,8.067939,2.8058858,78.54285714285714,78.470604,Good,Good
7.8,8.15,2.5,7.931286,8.004662,2.7729816,79.07142857142857,78.71285,Good,Good
7.9,8.11,2.6,8.202491,8.147682,2.7052507,79.14285714285714,79.86231,Good,Good
7.9,8.14,2.5,8.271492,8.148039,2.7144794,79.61428571428571,80.15041,Good,Good
8.0,8.16,2.6,8.317429,8.172151,2.64987,79.42857142857142,80.66443,Good,Good
8.0,8.13,2.6,8.413539,8.1953535,2.6683986,79.55714285714285,80.934364,Good,Good
8.2,8.14,2.6,8.413896,8.187662,2.6544948,80.5142857142857,81.052536,Good,Good
8.1,8.19,2.5,8.580863,8.208272,2.6277332,80.4,81.9596,Good,Good
8.8,8.26,2.5,8.550404,8.221438,2.598555,83.60000000000001,81.92595,Good,Good
8.7,8.22,2.6,9.151485,8.298741,2.508055,82.67142857142858,85.14306,Good,Good
8.9,8.24,2.6,9.041854,8.279425,2.5861838,83.58571428571429,84.208916,Good,Good
7.4,8.0,2.7,7.735689,8.047589,2.9952803,76.51428571428572,76.2171,Good,Good
7.6,8.11,2.7,7.787581,8.051612,2.885609,77.04285714285714,77.11735,Good,Good
7.6,8.14,2.6,7.9995956,8.121462,2.8563998,77.5142857142857,78.05332,Good,Good
7.7,8.07,2.7,8.042202,8.14814,2.7937374,77.71428571428571,78.52799,Good,Good
7.5,8.06,2.8,8.098842,8.137733,2.7929568,76.15714285714286,78.860466,Good,Good
7.4,8.09,2.8,7.876819,8.122934,2.8554168,75.52857142857142,77.43902,Good,Good
7.7,8.09,2.7,7.8067627,8.134907,2.8634248,77.62857142857143,76.98938,Good,Good
7.5,8.13,2.7,8.133685,8.169852,2.7429912,76.45714285714286,79.19683,Good,Good
7.8,8.16,2.7,7.965319,8.171646,2.7703378,77.82857142857142,78.18323,Good,Good
8.6,8.24,2.6,8.279908,8.212803,2.7124085,82.08571428571429,79.92736,Good,Good
8.5,8.19,2.7,9.12014,8.315586,2.5380924,81.2,84.733925,Good,Good
8.8,8.18,2.6,8.981882,8.286657,2.6309688,83.34285714285716,83.60935,Good,Good
5.2,7.41,2.8,6.4051,7.3674474,2.498823,67.44285714285714,75.457794,Medium,Good
5.3,7.47,2.7,6.346254,7.491535,2.5943394,68.28571428571429,74.058655,Medium,Good
5.1,7.18,2.7,6.3654547,7.5254235,2.5468194,68.52857142857142,74.29455,Medium,Good
5.2,7.42,2.9,6.268709,7.5001388,2.650492,66.80000000000001,73.29714,Medium,Good
5.3,7.24,2.8,6.287893,7.562873,2.6514928,68.67142857142856,73.1182,Medium,Good
5.1,7.0,2.8,6.287235,7.526477,2.6827486,68.7,73.08336,Medium,Good
5.8,7.34,2.8,6.2529106,7.4876714,2.7363415,70.74285714285715,72.75649,Good,Good
5.7,7.72,2.9,6.4269767,7.5451736,2.6716712,68.0142857142857,73.7684,Medium,Good
5.2,7.16,2.3,6.476113,7.715536,2.6162362,71.5142857142857,73.61656,Good,Good
6.5,7.22,2.5,6.39155,7.6848016,2.4543216,76.55714285714285,74.29696,Good,Good
7.0,7.56,2.7,6.954148,7.697218,2.2340581,76.39999999999999,78.37831,Good,Good
7.5,7.57,2.7,7.029411,7.7196875,2.403879,78.85714285714285,77.63941,Good,Good
5.2,7.16,2.6,6.1055803,7.582842,2.7568276,69.71428571428571,71.489044,Medium,Good
5.1,7.18,2.7,6.094022,7.50589,2.6451414,68.52857142857142,72.43116,Medium,Good
5.2,7.67,2.7,6.0693417,7.512396,2.6898727,66.92857142857143,72.01149,Medium,Good
5.3,7.36,2.8,6.1959543,7.6330214,2.5726576,68.15714285714286,72.83089,Medium,Good
5.1,7.1,2.6,6.1101375,7.583698,2.702684,69.47142857142856,71.83302,Medium,Good
5.2,7.35,2.8,6.0907063,7.581066,2.83958,67.7,70.925766,Medium,Good
5.2,7.37,2.8,6.0898247,7.7501373,3.0416994,67.61428571428571,68.984055,Medium,Medium
5.4,7.64,2.7,6.0955772,7.7478576,3.0243537,68.05714285714285,69.12666,Medium,Medium
6.2,7.19,2.6,6.377319,7.7694225,2.6398432,74.58571428571429,72.75001,Good,Good
5.5,7.44,2.5,6.67262,7.7314615,2.4943314,70.61428571428571,75.262276,Good,Good
7.9,7.32,2.4,6.4691634,7.709096,2.481042,83.72857142857143,74.420586,Good,Good
8.1,7.55,2.6,7.813983,7.589582,1.7910433,82.54285714285714,85.796875,Good,Good
6.6,7.29,2.5,7.1025834,7.1983705,2.44745,76.75714285714285,79.978065,Good,Good
5.9,7.2,2.8,7.2935553,7.2968173,2.3765137,71.84285714285714,80.93663,Good,Good
5.1,7.3,2.5,6.8437424,7.2574105,2.5496218,69.21428571428572,77.8178,Medium,Good
5.8,6.67,1.8,6.442683,7.390251,2.5084069,76.78571428571428,75.49047,Good,Good
5.3,6.97,2.8,7.2760262,7.194774,1.8812987,69.57142857142857,84.2576,Medium,Good
7.4,6.99,2.8,6.631716,7.297335,2.5355003,80.15714285714286,76.67129,Good,Good
6.5,7.11,2.7,7.946272,7.170321,1.9217014,75.82857142857142,87.47121,Good,Good
7.4,7.3,2.7,7.3181014,7.2550397,2.1859868,79.51428571428572,82.38156,Good,Good
7.5,7.11,2.8,7.622341,7.3282275,2.066893,80.22857142857143,84.30366,Good,Good
7.4,7.21,1.9,7.830202,7.211738,1.97127,84.69999999999999,86.41595,Good,Good
